,0,1,2,3,4,5,6
195,2011.6.3 (금),KIA,SK,4:1,4,1,문학
196,2011.6.3 (금),LG,롯데,7:5,7,5,사직
197,2011.6.3 (금),삼성,두산,3:4,3,4,잠실
198,2011.6.3 (금),넥센,한화,4:1,4,1,대전
199,2011.6.4 (토),LG,롯데,6:4,6,4,사직
200,2011.6.4 (토),KIA,SK,3:2,3,2,문학
201,2011.6.4 (토),삼성,두산,11:4,11,4,잠실
202,2011.6.4 (토),넥센,한화,1:3,1,3,대전
203,2011.6.5 (일),KIA,SK,2:1,2,1,문학
204,2011.6.5 (일),LG,롯데,5:11,5,11,사직
205,2011.6.5 (일),삼성,두산,8:3,8,3,잠실
206,2011.6.5 (일),넥센,한화,2:4,2,4,대전
207,2011.6.7 (화),한화,LG,0:4,0,4,잠실
208,2011.6.7 (화),롯데,삼성,1:9,1,9,대구
209,2011.6.7 (화),두산,KIA,2:5,2,5,광주
210,2011.6.7 (화),SK,넥센,6:1,6,1,목동
211,2011.6.8 (수),한화,LG,5:6,5,6,잠실
212,2011.6.8 (수),롯데,삼성,4:12,4,12,대구
213,2011.6.8 (수),두산,KIA,2:6,2,6,광주
214,2011.6.8 (수),SK,넥센,4:1,4,1,목동
215,2011.6.9 (목),한화,LG,4:1,4,1,잠실
216,2011.6.9 (목),롯데,삼성,13:7,13,7,대구
217,2011.6.9 (목),두산,KIA,2:3,2,3,광주
218,2011.6.9 (목),SK,넥센,9:10,9,10,목동
219,2011.6.10 (금),한화,롯데,6:7,6,7,사직
220,2011.6.10 (금),LG,KIA,7:6,7,6,군산
221,2011.6.10 (금),SK,두산,5:8,5,8,잠실
222,2011.6.10 (금),삼성,넥센,2:1,2,1,목동
223,2011.6.11 (토),한화,롯데,9:3,9,3,사직
224,2011.6.11 (토),LG,KIA,14:8,14,8,군산
225,2011.6.11 (토),SK,두산,7:1,7,1,잠실
226,2011.6.11 (토),삼성,넥센,6:3,6,3,목동
227,2011.6.12 (일),한화,롯데,2:17,2,17,사직
228,2011.6.12 (일),LG,KIA,1:8,1,8,군산
229,2011.6.12 (일),SK,두산,6:0,6,0,잠실
230,2011.6.12 (일),삼성,넥센,5:3,5,3,목동
231,2011.6.14 (화),KIA,한화,3:12,3,12,대전
232,2011.6.14 (화),LG,삼성,3:7,3,7,대구
233,2011.6.14 (화),롯데,SK,5:8,5,8,문학
234,2011.6.14 (화),넥센,두산,3:5,3,5,잠실
235,2011.6.15 (수),KIA,한화,6:5,6,5,대전
236,2011.6.15 (수),LG,삼성,3:9,3,9,대구
237,2011.6.15 (수),롯데,SK,1:4,1,4,문학
238,2011.6.15 (수),넥센,두산,4:13,4,13,잠실
239,2011.6.16 (목),KIA,한화,1:7,1,7,대전
240,2011.6.16 (목),LG,삼성,4:6,4,6,대구
241,2011.6.16 (목),롯데,SK,7:2,7,2,문학
242,2011.6.16 (목),넥센,두산,10:5,10,5,잠실
243,2011.6.17 (금),롯데,넥센,1:8,1,8,목동
244,2011.6.17 (금),두산,한화,8:11,8,11,대전
245,2011.6.17 (금),SK,LG,6:4,6,4,잠실
246,2011.6.17 (금),삼성,KIA,1:17,1,17,광주
247,2011.6.18 (토),롯데,넥센,3:7,3,7,목동
248,2011.6.18 (토),두산,한화,13:3,13,3,대전
249,2011.6.18 (토),SK,LG,5:8,5,8,잠실
250,2011.6.18 (토),삼성,KIA,4:9,4,9,광주
251,2011.6.19 (일),롯데,넥센,10:4,10,4,목동
252,2011.6.19 (일),두산,한화,1:2,1,2,대전
253,2011.6.19 (일),SK,LG,6:2,6,2,잠실
254,2011.6.19 (일),삼성,KIA,4:3,4,3,광주
255,2011.6.21 (화),한화,삼성,2:5,2,5,대구
256,2011.6.21 (화),두산,롯데,6:3,6,3,사직
257,2011.6.21 (화),SK,KIA,7:3,7,3,광주
258,2011.6.21 (화),넥센,LG,3:7,3,7,잠실
259,2011.6.22 (수),한화,삼성,5:19,5,19,대구
260,2011.6.23 (목),한화,삼성,2:8,2,8,대구
261,2011.6.23 (목),두산,롯데,9:5,9,5,사직
262,2011.6.23 (목),SK,KIA,2:8,2,8,광주
263,2011.6.23 (목),넥센,삼성,9:5,9,5,대구
264,2011.6.28 (화),한화,SK,5:1,5,1,문학
265,2011.6.28 (화),KIA,롯데,7:2,7,2,사직
266,2011.6.28 (화),두산,넥센,6:5,6,5,목동
267,2011.6.28 (화),삼성,LG,4:3,4,3,잠실
268,2011.6.28 (화),KIA,롯데,7:2,7,2,사직
269,2011.6.30 (목),한화,SK,9:6,9,6,문학
270,2011.6.30 (목),KIA,롯데,0:4,0,4,사직
271,2011.7.1 (금),한화,KIA,4:12,4,12,광주
272,2011.7.1 (금),롯데,삼성,4:5,4,5,대구
273,2011.7.1 (금),두산,LG,6:0,6,0,잠실
274,2011.7.1 (금),SK,넥센,5:6,5,6,목동
275,2011.7.2 (토),한화,KIA,11:7,11,7,광주
276,2011.7.2 (토),롯데,삼성,8:4,8,4,대구
277,2011.7.2 (토),두산,LG,4:3,4,3,잠실
278,2011.7.2 (토),SK,넥센,3:5,3,5,목동
279,2011.7.3 (일),한화,KIA,1:5,1,5,광주
280,2011.7.5 (화),LG,한화,1:2,1,2,대전
281,2011.7.5 (화),롯데,두산,6:2,6,2,잠실
282,2011.7.5 (화),삼성,SK,6:5,6,5,문학
283,2011.7.5 (화),넥센,KIA,1:3,1,3,군산
284,2011.7.6 (수),LG,한화,10:7,10,7,대전
285,2011.7.6 (수),롯데,두산,4:1,4,1,잠실
286,2011.7.6 (수),삼성,SK,9:5,9,5,문학
287,2011.7.6 (수),넥센,KIA,1:2,1,2,군산
288,2011.7.7 (목),LG,한화,4:1,4,1,대전
289,2011.7.7 (목),넥센,KIA,5:7,5,7,군산
290,2011.7.8 (금),KIA,LG,1:0,1,0,잠실
291,2011.7.8 (금),롯데,SK,2:10,2,10,문학
292,2011.7.8 (금),두산,삼성,2:1,2,1,대구
293,2011.7.9 (토),KIA,LG,3:4,3,4,잠실
294,2011.7.9 (토),롯데,SK,1:2,1,2,문학
295,2011.7.9 (토),넥센,한화,5:7,5,7,대전
296,2011.7.10 (일),KIA,LG,6:2,6,2,잠실
297,2011.7.12 (화),한화,롯데,3:11,3,11,사직
298,2011.7.12 (화),SK,LG,0:2,0,2,잠실
299,2011.7.12 (화),삼성,넥센,7:4,7,4,목동
300,2011.7.12 (화),두산,KIA,4:5,4,5,광주
301,2011.7.14 (목),한화,롯데,3:4,3,4,사직
302,2011.7.14 (목),두산,KIA,11:2,11,2,광주
303,2011.7.14 (목),KIA,삼성,4:0,4,0,대구
304,2011.7.14 (목),LG,롯데,6:10,6,10,사직
305,2011.7.14 (목),KIA,삼성,3:4,3,4,대구
306,2011.7.14 (목),LG,롯데,4:5,4,5,사직
307,2011.7.17 (일),한화,SK,5:0,5,0,문학
308,2011.7.17 (일),KIA,삼성,4:2,4,2,대구
309,2011.7.17 (일),LG,롯데,4:0,4,0,사직
310,2011.7.17 (일),넥센,두산,3:2,3,2,잠실
311,2011.7.19 (화),KIA,한화,6:7,6,7,대전
312,2011.7.19 (화),LG,넥센,1:2,1,2,목동
313,2011.7.19 (화),롯데,두산,5:3,5,3,잠실
314,2011.7.19 (화),SK,삼성,2:3,2,3,대구
315,2011.7.20 (수),KIA,한화,5:3,5,3,대전
316,2011.7.20 (수),LG,넥센,3:4,3,4,목동
317,2011.7.20 (수),롯데,두산,13:5,13,5,잠실
318,2011.7.20 (수),SK,삼성,10:4,10,4,대구
319,2011.7.21 (목),KIA,한화,4:2,4,2,대전
320,2011.7.21 (목),LG,넥센,7:11,7,11,목동
321,2011.7.21 (목),롯데,두산,4:6,4,6,잠실
322,2011.7.21 (목),SK,삼성,2:1,2,1,대구
323,2011.7.23 (토),이스턴,웨스턴,4:5,4,5,잠실
324,2011.7.23 (토),SK,롯데,11:2,11,2,사직
325,2011.7.23 (토),삼성,KIA,5:2,5,2,광주
326,2011.7.23 (토),삼성,KIA,5:1,5,1,광주
327,2011.7.23 (토),SK,롯데,4:6,4,6,사직
328,2011.7.23 (토),삼성,KIA,7:3,7,3,광주
329,2011.7.29 (금),두산,롯데,1:4,1,4,사직
330,2011.7.29 (금),SK,한화,8:4,8,4,대전
331,2011.7.29 (금),삼성,LG,4:2,4,2,잠실
332,2011.7.29 (금),넥센,KIA,5:10,5,10,광주
333,2011.7.30 (토),두산,롯데,6:8,6,8,사직
334,2011.7.30 (토),SK,한화,2:7,2,7,대전
335,2011.7.30 (토),삼성,LG,5:10,5,10,잠실
336,2011.7.30 (토),넥센,KIA,0:2,0,2,광주
337,2011.7.31 (일),두산,롯데,7:8,7,8,사직
338,2011.7.31 (일),SK,한화,5:2,5,2,대전
339,2011.7.31 (일),넥센,KIA,9:4,9,4,광주
340,2011.8.2 (화),KIA,두산,8:3,8,3,잠실
341,2011.8.2 (화),LG,SK,5:4,5,4,문학
342,2011.8.2 (화),롯데,한화,9:3,9,3,대전
343,2011.8.2 (화),넥센,삼성,3:5,3,5,대구
344,2011.8.3 (수),KIA,두산,4:5,4,5,잠실
345,2011.8.3 (수),LG,SK,4:5,4,5,문학
346,2011.8.3 (수),넥센,삼성,2:3,2,3,대구
347,2011.8.4 (목),KIA,두산,2:1,2,1,잠실
348,2011.8.4 (목),LG,SK,1:9,1,9,문학
349,2011.8.4 (목),롯데,한화,9:1,9,1,대전
350,2011.8.4 (목),넥센,삼성,0:2,0,2,대구
351,2011.8.5 (금),한화,LG,0:8,0,8,잠실
352,2011.8.5 (금),KIA,SK,2:4,2,4,문학
353,2011.8.5 (금),두산,넥센,5:8,5,8,목동
354,2011.8.5 (금),삼성,롯데,2:0,2,0,사직
355,2011.8.6 (토),한화,LG,5:2,5,2,잠실
356,2011.8.6 (토),KIA,SK,0:3,0,3,문학
357,2011.8.6 (토),두산,넥센,9:5,9,5,목동
358,2011.8.6 (토),삼성,롯데,4:11,4,11,사직
359,2011.8.7 (일),한화,LG,11:4,11,4,잠실
360,2011.8.7 (일),KIA,SK,6:1,6,1,문학
361,2011.8.7 (일),두산,넥센,0:3,0,3,목동
362,2011.8.7 (일),삼성,롯데,3:1,3,1,사직
363,2011.8.7 (일),LG,KIA,0:2,0,2,광주
364,2011.8.7 (일),SK,두산,1:2,1,2,잠실
365,2011.8.7 (일),넥센,롯데,3:1,3,1,사직
366,2011.8.10 (수),한화,삼성,2:4,2,4,대구
367,2011.8.10 (수),LG,KIA,13:4,13,4,광주
368,2011.8.10 (수),SK,두산,11:5,11,5,잠실
369,2011.8.10 (수),넥센,롯데,3:4,3,4,사직
370,2011.8.11 (목),한화,삼성,4:2,4,2,대구
371,2011.8.11 (목),LG,KIA,2:3,2,3,광주
372,2011.8.11 (목),SK,두산,1:3,1,3,잠실
373,2011.8.11 (목),넥센,롯데,3:5,3,5,사직
374,2011.8.12 (금),KIA,삼성,3:7,3,7,대구
375,2011.8.13 (토),KIA,삼성,11:4,11,4,대구
376,2011.8.13 (토),롯데,LG,4:6,4,6,잠실
377,2011.8.13 (토),두산,한화,8:4,8,4,대전
378,2011.8.13 (토),넥센,SK,3:4,3,4,문학
379,2011.8.14 (일),KIA,삼성,2:6,2,6,대구
380,2011.8.14 (일),롯데,LG,4:1,4,1,잠실
381,2011.8.14 (일),두산,한화,2:8,2,8,대전
382,2011.8.14 (일),넥센,SK,0:11,0,11,문학
383,2011.8.14 (일),롯데,KIA,7:2,7,2,광주
